,ds,yhat,adjusted_yhat
5443,10/10/2024,193.2504939,170.3704939
5444,10/11/2024,193.194695,170.314695
5445,10/14/2024,193.1462168,170.2662168
5446,10/15/2024,193.0724167,170.1924167
5447,10/16/2024,192.9622399,170.0822399
