,ds,yhat,adjusted_yhat
11445,2024-10-25,231.4057838396892,231.4057838396892
11446,2024-10-28,231.43009655094465,231.43009655094465
11447,2024-10-29,231.43010902559502,231.43010902559502
11448,2024-10-30,231.43011331570332,231.43011331570332
11449,2024-10-31,231.43011242585442,231.43011242585442
11450,2024-11-01,226.28016299045248,226.28016299045248
11451,2024-11-04,226.3183568008384,226.3183568008384
11452,2024-11-05,225.8496648457182,225.8496648457182
11453,2024-11-06,223.34203377623666,223.34203377623666
11454,2024-11-07,223.27129208591901,223.27129208591901
11455,2024-11-08,225.5756155749677,225.5756155749677
